;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genre;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;genres;platforms;synopsis;theme
8;Nurarihyon no Mago: Gekitou Dai Futsal Taikai! Nuragumi W Cup!!;https://myanimelist.net/anime/10886/Nurarihyon_no_Mago__Gekitou_Dai_Futsal_Taikai_Nuragumi_W_Cup;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ぬらりひょんの孫 ～激闘 大フットサル大会！奴良組Wカップ!!～;Special;1;Finished Airing;Oct 23, 2010;['Imagine'];None found, add some;Studio Deen;Manga;;['Mythology', 'Team Sports'];Shounen;13 min.;PG-13 - Teens 13 or older;6.45;#6957;#6825;7,017;5;['Sports', 'Supernatural'];[];A special shown at the Jump Super Anime Tour 2010. It was later released as an extra accompanying Nurarihyon no Mago Blu-ray Box 1.;Nurarihyon no Mago: Gekitou Dai Futtosaru Taikai! Nuragumi W Cup!!, Nurarihyon no Mago: Jump Festa 2010 Special;;;
9;Arcade Gamer Fubuki;https://myanimelist.net/anime/1596/Arcade_Gamer_Fubuki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;アーケードゲーマーふぶき;OVA;4;Finished Airing;Feb 25, 2002 to Jan 25, 2003;['Bandai Visual', 'Lantis'];Central Park Media;Shaft;Manga;;['Parody', 'Super Power', 'Video Game'];;29 min. per ep.;PG-13 - Teens 13 or older;5.27;#12406;#6860;6,941;8;['Action', 'Comedy', 'Sports', 'Ecchi'];[];Fubuki Sakuragasaki is a powerful gamer who, with the power of her Passion Panties, climbs up the ranks of the BAG (Best of Arcade Gamer) tournament to become the greatest Arcade Gamer in the world. However, the evil Gulasic Group is out to conquer the world through said tournament, and their gaming skills will prove to be a challenge. Fubuki must team up with the legendary Mr. Mystery to combat the four Gods of Gaming and make the world of arcade gaming safe for all.  (Source: ANN);;;;
10;Tennis no Ouji-sama: Oshougatsu Special;https://myanimelist.net/anime/5996/Tennis_no_Ouji-sama__Oshougatsu_Special;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;テニスの王子様 お正月スペシャル;Special;1;Finished Airing;Mar 7, 2003;['None found', 'add some'];None found, add some;Production I.G;Manga;Sports;;Shounen;22 min.;PG-13 - Teens 13 or older;6.80;#4975;#6916;6,769;6;;[];The New Year has finally arrived for the Seishun Academy Boys' Tennis Team. As part of the festivities, Ryouma Echizen and his fellow first-year club members—Satoshi Horio, Kachirou Katou, and Katsuo Mizuno—celebrate by reminiscing about the past year. As the freshmen revel in nostalgia, it seems as if a strange hanetsuki tournament has begun among the rest of the team.  [Written by MAL Rewrite];Tennis no Ouji-sama: S1, Prince of Tennis: New Year's Special;;;
11;Shiritsu Araiso Koutougakkou Seitokai Shikkoubu;https://myanimelist.net/anime/425/Shiritsu_Araiso_Koutougakkou_Seitokai_Shikkoubu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;私立荒磯高等学校生徒会執行部;OVA;2;Finished Airing;Mar 29, 2002 to Jul 26, 2002;['Movic', 'Tokuma Shoten'];None found, add some;Nippon Animation;Manga;;;;26 min. per ep.;PG-13 - Teens 13 or older;6.37;#7423;#6921;6,752;10;['Boys Love', 'Comedy', 'Sports'];[];Kubota Makoto and Tokitoh Minoru (characters from Kazuya Minekura's manga Wild Adaptor—though no reference is made to the darker storyline of WA in this light-hearted anime)—are the muscle of their high school's all-powerful student council. They defend the student body from disorder—generated by both humans and demons—while avoiding their classes.  (Source: ANN);;;;
12;Honoo no Tenkousei;https://myanimelist.net/anime/2050/Honoo_no_Tenkousei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;炎の転校生;OVA;2;Finished Airing;May 21, 1991;['Studio Fantasia', 'Youmex', 'Imagine'];None found, add some;Gainax;Manga;;['Combat Sports', 'Martial Arts', 'Parody', 'School'];Shounen;23 min. per ep.;PG-13 - Teens 13 or older;6.60;#6038;#6953;6,673;12;['Action', 'Comedy', 'Sports'];[];Transfer student Takisawa Noboru quickly learns that all disputes at his new school are settled in the boxing ring. Now he finds himself in a series of showdowns with the local top dog, Ibuki Saburo, for the love and respect of the beautiful Yukari.  (Source: ANN);Blazing Transfer Student;;;
13;Eyeshield 21: Jump Festa 2005 Special;https://myanimelist.net/anime/6418/Eyeshield_21__Jump_Festa_2005_Special;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;アイシールド21ジャンプフェスタ 2005;Special;1;Finished Airing;2005;['None found', 'add some'];None found, add some;Gallop;Manga;Sports;;Shounen;11 min.;PG-13 - Teens 13 or older;6.72;#5393;#6997;6,531;4;;[];A brief OVA about the Devil Bats training on an island.;Eyeshield 21: Jump Super Anime Tour 2005 Special;Team Sports;;
14;Gekitou! Crush Gear Turbo;https://myanimelist.net/anime/3012/Gekitou_Crush_Gear_Turbo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;激闘! クラッシュギアTURBO;TV;68;Finished Airing;Oct 7, 2001 to Jan 26, 2003;['Bandai Visual'];None found, add some;Sunrise;Unknown;Sports;;;25 min. per ep.;G - All Ages;6.90;#4493;#7058;6,418;36;;[];After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.;;;Fall 2001;Unknown
15;Kinnikuman II Sei: Ultimate Muscle 2;https://myanimelist.net/anime/5968/Kinnikuman_II_Sei__Ultimate_Muscle_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キン肉マンII世 ULTIMATE MUSCLE 2;TV;13;Finished Airing;Jan 5, 2006 to Mar 30, 2006;['None found', 'add some'];Discotek Media;Toei Animation;Manga;;['Combat Sports', 'Martial Arts'];;24 min. per ep.;PG-13 - Teens 13 or older;6.98;#4175;#7068;6,391;4;['Action', 'Comedy', 'Sci-Fi', 'Sports'];[];Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup.  (Source: ANN);Kinnikuman Nisei: Ultimate Muscle 2;;Winter 2006;Unknown
16;Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze;https://myanimelist.net/anime/8245/Metal_Fight_Beyblade_vs_Taiyou__Shakunetsu_no_Shinryakusha_Sol_Blaze;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;劇場版メタルファイト ベイブレードVS太陽 ～灼熱の侵略者ソルブレイズ～;Movie;1;Finished Airing;Aug 21, 2010;['None found', 'add some'];None found, add some;SynergySP;Manga;;;Kids;1 hr. 16 min.;PG - Children;6.57;#6225;#7098;6,332;6;['Adventure', 'Comedy', 'Sports'];[];"It's summer vacation. In front of Ginga and Co, who are excited about a Beyblade tournament, Helios, a mysterious youth, stands in their way. In his hands, he possesses ""Sol Blaze"", a Beyblade that has been passed down since ancient times. As intense battle between Ginga vs. Helios unfolds, extreme weather develops throughout the world.  (Source: ANN)";Metal Fight Beyblade Movie, Gekijouban Metal Fight Beyblade vs Taiyou: Shakunetsu no Shinryakusha Sol Blaze;;;
17;Inazuma Eleven Go Specials;https://myanimelist.net/anime/12585/Inazuma_Eleven_Go_Specials;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;イナズマイレブンGO特別編;Special;2;Finished Airing;Dec 8, 2011 to Dec 23, 2011;['None found', 'add some'];None found, add some;OLM;Unknown;Sports;['Super Power', 'Team Sports'];;23 min. per ep.;G - All Ages;6.74;#5319;#7105;6,311;7;;[];Recap episodes of Inazuma Eleven Go made to catch viewers up in the newest franchise in preparation for the Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon film being released at the same time period (the 2nd recap ep aired on the same day the movie came out). Both recap episodes were included on the 12th DVD volume of the main anime as well.;Inazuma Eleven Go: Tokubetsu-hen, Inazuma Eleven Go Special - Ideyo! Keshin Daizukan, Inazuma Eleven Go: Izude yo! Keshin Daizukan!!, Inazuma Eleven Go: Sakuretsu! Hissatsuwaza Daizukan!!, Inazuma Eleven Go Recaps;;;
18;Inazuma Eleven: Reloaded - Soccer no Henkaku;https://myanimelist.net/anime/37814/Inazuma_Eleven__Reloaded_-_Soccer_no_Henkaku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;イナズマイレブン リローデッド ～サッカーの変革へんかく～;Special;1;Finished Airing;Jan 21, 2018;['None found', 'add some'];None found, add some;OLM;Game;Sports;;;24 min.;G - All Ages;6.97;#4214;#7158;6,219;6;;[];Special prologue episode of the Inazuma Eleven: Ares no Tenbin series. It is a remake of the original Inazuma Eleven episode 27.  After defeating Zeus and becoming the Football Frontier champions, the members of Raimon return to the soccer club. Unlike episode 27, the club is not invaded by aliens. Instead, everyone congratulates the team members for their remarkable achievements.  Kidou Yuuto and Gouenji Shuuya then propose to take on the world. Hibiki Seigou comes in and, incidentially, proposes a match between Raimon and the Spanish youth league champion, Barcelona Orb.  (Source: Inazuma Eleven Wiki);Inazuma Eleven: Reloaded - Reformation of Soccer;Team Sports;;
19;Omoi no Kakera;https://myanimelist.net/anime/32190/Omoi_no_Kakera;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;想いのかけら;Special;1;Finished Airing;Mar 24, 2016;['NHK'];None found, add some;Gaina;Original;;;;24 min.;PG-13 - Teens 13 or older;6.49;#6692;#7202;6,120;2;['Slice of Life', 'Sports'];[];Hina Satou is a 13-year-old who loves figure skating and lives in a port town in Miyagi Prefecture. After losing her mother in the 2011 earthquake, she and her father are currently living in temporary housing. With sad memories of the earthquake and memories of a gentle mother, the cheerful Hina continues to move toward her dreams.  (Source: Fukushima Gainax);;;;
20;Tiger Mask Nisei;https://myanimelist.net/anime/5832/Tiger_Mask_Nisei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;タイガーマスク二世;TV;33;Finished Airing;Apr 20, 1981 to Jan 18, 1982;['None found', 'add some'];None found, add some;Toei Animation;Manga;;;;24 min. per ep.;R - 17+ (violence & profanity);7.32;#2484;#7228;6,057;19;['Action', 'Drama', 'Sports'];[];Second season to the original Tiger Mask, with a different cast of characters.;Tiger Mask II;Combat Sports;Spring 1981;Mondays at 19:00 (JST)
21;Captain Tsubasa: Europe Daikessen;https://myanimelist.net/anime/2118/Captain_Tsubasa__Europe_Daikessen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キャプテン翼　ヨーロッパ大決戦;Movie;1;Finished Airing;Jul 13, 1985;['Group TAC'];None found, add some;Tsuchida Productions;Unknown;Sports;;Shounen;42 min.;G - All Ages;6.84;#4788;#7300;5,898;2;;[];"The first Captain Tsubasa movie is about a match between an ""All Europe Boy Soccer Team"" and an ""All Japan Boy Soccer Team"" and takes place at the end of the first TV series. When the Japanese team arrives in Europe they meet incredible players with skills and strength they never had to face before.  (Source: ANN)";Captain Tsubasa: Europa Daikessen, Captain Tsubasa: Soccer Boys Europe Finals, Captain Tsubasa: Europe Dai Kessen, Captain Tsubasa Movie (1985 Summer),;Team Sports;;
22;Poputepipikku Kinen;https://myanimelist.net/anime/38068/Poputepipikku_Kinen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ポプテピ記念;ONA;1;Finished Airing;Jun 14, 2018;['None found', 'add some'];None found, add some;Space Neko Company;4-koma manga;Sports;;;2 min.;PG-13 - Teens 13 or older;6.31;#7754;#7350;5,805;5;;[];This is a 2:15 (4:30 including the rerun) short created to promote the (JRA) Japan Racing Association's Umabi service.  The short is interactive originally, insofar as you can create your own character who will then appear in the audience at given points in the short. This video uses the default character provided.  VAs used in the short:  First half: Popuko: Mikako Komatsu Pipimi: Sumire Uesaka  Second half: Popuko: Ryuusei Nakao Pipimi: Norio Wakamoto  This is the same combination of VAs that was used for episode 3 of the TV series.  (Source: MyaaSubs);JRA x Poputepipikku, JRA x Pop Team Epic;Parody;;
23;Battle Athletess Daiundoukai;https://myanimelist.net/anime/1185/Battle_Athletess_Daiundoukai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;バトルアスリーテス大運動会;OVA;6;Finished Airing;May 25, 1997 to Jun 25, 1998;['TV Tokyo', 'Genco', 'Pioneer LDC'];Discotek Media, Geneon Entertainment USA;AIC;Original;;;;32 min. per ep.;PG-13 - Teens 13 or older;6.45;#6923;#7365;5,753;6;['Comedy', 'Sci-Fi', 'Sports', 'Ecchi'];[];"It is the year 4999 - mankind has long abandoned war in favor of intergalactic competition through athletic events. One of which is an all-female contest for the coveted ""Cosmo Beauty"" title. Akari Kanzaki has just entered the University Satellite in hopes of becoming the latest Cosmic Beauty - a title held by her mother long ago. On her first few days in the university, she meets new friends, encounters fierce rivals, and struggles to become the best of all the Battle Athletes.  (Source: ANN)";Battle Athletes OVA;Space;;
24;Ashita no Joe (Movie);https://myanimelist.net/anime/2920/Ashita_no_Joe_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;あしたのジョー (1980);Movie;1;Finished Airing;Mar 8, 1980;['None found', 'add some'];Discotek Media;Mushi Production;Unknown;;;Shounen;2 hr. 33 min.;PG-13 - Teens 13 or older;7.08;#3683;#7431;5,661;5;['Action', 'Drama', 'Sports'];[];An abridged remake of the first Ashita no Joe TV series, released in 1980 to provide back-story for the second TV series to new fans who were not familiar with the first TV series or the manga.  (Source: ANN);;Combat Sports;;
25;Teekyuu 4 Specials;https://myanimelist.net/anime/31608/Teekyuu_4_Specials;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;てーきゅう　４期　ＴＶ未放送オリジナルエピソードアニメ;Special;2;Finished Airing;Aug 28, 2015;['DAX Production', 'Earth Star Entertainment'];None found, add some;Millepensee;Manga;;;Shounen;2 min. per ep.;PG-13 - Teens 13 or older;6.32;#7689;#7436;5,643;0;['Comedy', 'Sports'];[];Unaired specials included in the Blu-ray and DVD release.;Te-kyu 4 specials;School;;
26;CMFU Xueyuan: Wangzi Peng Peng Qiu;https://myanimelist.net/anime/37619/CMFU_Xueyuan__Wangzi_Peng_Peng_Qiu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;CMFU学院：王子碰碰球;ONA;24;Finished Airing;Nov 3, 2016 to Apr 6, 2017;['Tencent Penguin Pictures', 'China Literature Limited'];None found, add some;Foch Films;Novel;;;;11 min. per ep.;PG-13 - Teens 13 or older;6.04;#9278;#7454;5,614;15;['Romance', 'Sports'];[];Qin Xiaolu is a problematic girl. Her parents divorced. She was raised by her grandmother. She went to work at a young ageand later she started playing billiards. Now she is playing gambling and kidnapping becoming a superb female gangster.  One day, Qin Xiaolu touching the porcelain, escapes from gangsters and it the end she blackmail a BMW owner. She didn't expect that the owner to be the prince of the CMFU Academy.  (Source: baidu);CMFU Academy: King of Billiards;School;;
27;Yowamushi Pedal: Re:Generation;https://myanimelist.net/anime/35880/Yowamushi_Pedal__Re_Generation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;弱虫ペダル Re:GENERATION;Movie;1;Finished Airing;Oct 13, 2017;['None found', 'add some'];None found, add some;TMS Entertainment;Manga;Sports;;Shounen;1 hr. 30 min.;PG-13 - Teens 13 or older;7.15;#3340;#7488;5,537;2;;[];The summary movie compiling episodes from the 3rd season of the anime with some new scenes.;Yowamushi Pedal Summary;;;
28;Uma Musume: Pretty Derby Season 3;https://myanimelist.net/anime/53526/Uma_Musume__Pretty_Derby_Season_3;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ウマ娘 プリティーダービー Season 3;TV;Unknown;Not yet aired;2023 to ?;['None found', 'add some'];None found, add some;Studio Kai;Game;Sports;;;Unknown;PG-13 - Teens 13 or older;N/A;N/A;#7551;5,440;6;;[];Third season of Uma Musume: Pretty Derby.;Umamusume: Pretty Derby Season 3;Anthropomorphic;?;Unknown
29;Chousoku Spinner;https://myanimelist.net/anime/2703/Chousoku_Spinner;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;超速スピナー;TV;22;Finished Airing;Nov 30, 1998 to Sep 10, 1999;['Shogakukan-Shueisha Productions'];None found, add some;Xebec;Manga;Sports;;Shounen;23 min. per ep.;G - All Ages;6.61;#6004;#7559;5,419;6;;[];Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular—that is, until he discovers the world of competitive yo-yo.  It all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei.  Shunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship!  [Written by MAL Rewrite];Chosoku Spinner, Super Sonic Spinners, Super Speed Spinner;;Fall 1998;Unknown
30;Ayane-chan High Kick!;https://myanimelist.net/anime/2183/Ayane-chan_High_Kick;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;綾音ちゃんハイキック!;OVA;2;Finished Airing;Jan 21, 1997 to Apr 25, 1997;['Nikkatsu'];Central Park Media;Rikuentai;Original;;;Shounen;27 min. per ep.;PG-13 - Teens 13 or older;5.84;#10239;#7578;5,384;8;['Comedy', 'Sports'];[];"Meet Ayane Mitsui: a full-time high school student and part-time hand-to-hand combat specialist! Exams are forgotten and homework is neglected as she pursues her life-long dream of becoming a pro-wrestling champion. Ayane has what it takes - skill, determination, and a lethal ""high-kick"" - even a cool wrestling mask! But who will guide her to the top?  Enter Kunimitsu Tangay: a veteran trainer who is prepared to mold young Ayane into a championship caliber fighter. But his rigorous regimen isn't preparing her for wrestling... but for kickboxing instead! Feeling betrayed, Ayane is furious when Kunimitsu enters in a kickboxing tournament. But Ayane's school ABSOLUTELY FORBIDS such violent extracurricular activities. What will she do when Sakurako Miyagawa, the top contender of the All Japan Kickboxing League, challenges her to a duel? Will she be able to high-kick her way to victory - or will she get kicked out of school?  (Source: U.S. Manga Corps)";;Combat Sports;;
31;I'll/CKBC;https://myanimelist.net/anime/359/Ill_CKBC;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;I'll/CKBC;OVA;2;Finished Airing;Dec 18, 2002 to Mar 26, 2003;['Aniplex', 'SME Visual Works'];Media Blasters;M.S.C;Manga;;['School', 'Team Sports'];Shounen;30 min. per ep.;PG-13 - Teens 13 or older;6.21;#8317;#7594;5,369;6;['Action', 'Sports'];[];Pressured by his family's background and expectations, high school student Hitonari Hiiragi has been considering quitting basketball. However, after meeting Akane Tachibana, Hiiragi's love for the sport is reignited. As he joins the Kouzu High School basketball club, Hiiragi aims to pursue his own path in basketball together with his cherished teammates.  But despite having fun with his newfound comrades, Hiiragi eventually starts to question whether he can achieve his dreams with the current team and environment. As they each struggle with their differing approaches towards the sport, Hiiragi and the team ponder what it truly means to play basketball together.  [Written by MAL Rewrite];I'll / Crazy KOUZU Basketball Club, Generation basket;;;
32;Beyblade Burst Sparking;https://myanimelist.net/anime/41439/Beyblade_Burst_Sparking;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ベイブレードバースト スパーキング;ONA;52;Finished Airing;Apr 3, 2020 to Mar 19, 2021;['ADK Emotions'];ADK Emotions NY;OLM;Manga;;;Kids;12 min. per ep.;PG - Children;6.60;#6026;#7631;5,331;35;['Action', 'Adventure', 'Sci-Fi', 'Sports'];[];One year after the events of Beyblade Burst GT, brothers Hikaru, and Hyuga witness the power of Superking/Sparking evolutions of Valkyrie, Ragnaruk, and Satan. The three beys radiate a power that was not even dreamable, due to their bladers pulling off a sparking launch. Hyuga and Hikaru get inspired to make their own sparking beys, Hyperion and Helios, and compete with the legendary bladers, training to best the top ranked bladers to ever touch the stadium.  Prepared to do whatever it takes to become the best, they head across the globe to challenge the best to ever let it rip, in an effort to become stronger, and battle all of the top bladers that were able to make their mark in the stadium.  (Source: Wikipedia);Beyblade Burst Super King;;;
33;King of Prism: Shiny Seven Stars;https://myanimelist.net/anime/39699/King_of_Prism__Shiny_Seven_Stars;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;KING OF PRISM -Shiny Seven Stars-;TV;12;Finished Airing;Apr 16, 2019 to Jul 2, 2019;['None found', 'add some'];None found, add some;Tatsunoko Production;Original;Sports;['Idols (Male)', ''];;24 min. per ep.;PG-13 - Teens 13 or older;6.42;#7119;#7634;5,328;21;;['Crunchyroll'];TV version of the King of Prism: Shiny Seven Stars movies.  After appearing in the Prism King Cup representing Edel Rose, and getting a glimpse of what it was like to a be a future Prism Star, Ichijo Shin entered Kakyoin Academy’s High School division in spring and became a first-year high school student. Koji, Hiro, and Kazuki from Over The Rainbow left Edel Rose and established a new agency. They were all keeping quite busy. Meanwhile, after having the title of Prism King stolen by Hiro, the leader of Schwarz Rose, Norizuki Jin, proposes PRISM.1, which would decide a new king other than Prism King. He then announces that Schwarz Rose and Edel Rose will be competing with each other. While everyone is preparing for PRISM.1, Yukinojo is torn between being in kabuki and the Prism Show. He doesn’t feel like he’s living up to his potential in either and doesn’t know what to do. His father sees him like this and tells him to leave the world of Prism Shows...  (Source: Crunchyroll);;;Spring 2019;Tuesdays at 01:35 (JST)
34;Hikari no Densetsu;https://myanimelist.net/anime/2224/Hikari_no_Densetsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;光の伝説;TV;19;Finished Airing;May 3, 1986 to Sep 20, 1986;['None found', 'add some'];None found, add some;Tatsunoko Production;Manga;;;Shoujo;24 min. per ep.;PG - Children;6.72;#5405;#7702;5,235;16;['Romance', 'Sports'];[];Hikari is a young school girl who dreams of becoming a great champion in the sport of rhythmic gymnastics like her idol, Diliana Gueorguiva. Despite all her setbacks while performing, she works hard and with the help and support of Takaaki Oiishi (the best male gymnast of her school) soon becomes a member of the rhythmic gymnastics team in her school. She develops feelings for Oiishi, but she is not the only one—Hazuki Shiina, the best gymnast in the entire school, also has feelings for Oiishi. Soon a friendship between Hikari and Shiina develops, but also a rivalry as well in the sport and for the love of Oiishi. Hikari is also torn between her feelings for Oiishi and her conflicting feelings for Mao Natsukawa, an old childhood friend, who is also the lead singer of the band called Mr. D. He composes the music she uses while performing, and has been developing feelings for her since childhood.  (Source: ANN);Legend of Light, The Story of Hikari;Music;Spring 1986;Unknown
35;Dash! Kappei;https://myanimelist.net/anime/2748/Dash_Kappei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ダッシュ勝平;TV;65;Finished Airing;Oct 4, 1981 to Dec 26, 1982;['Fuji TV'];None found, add some;Tatsunoko Production, Tama Production;Manga;;;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;7.19;#3160;#7726;5,202;30;['Comedy', 'Sports', 'Ecchi'];[];Kappei is a dramatically short guy but he is a master in every sport. He lives as a guest in sweet Akane's house, and he's in love with her, but there's a strange rival, her dog Salomone (Italian name) who plans evil traps to encumber Kappei. But the dog has also another function: he explains all sport rules when a new sport is depicted. Kappei is fond of white female underwear, always trying to lift girl's skirts up.  (Source: ANN);Dashing Kappei;;Fall 1981;Unknown
36;Captain Tsubasa: Ayaushi! Zen Nihon Jr.;https://myanimelist.net/anime/2119/Captain_Tsubasa__Ayaushi_Zen_Nihon_Jr;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キャプテン翼　危うし！全日本Ｊｒ．;Movie;1;Finished Airing;Dec 21, 1985;['Group TAC'];None found, add some;Tsuchida Productions;Unknown;Sports;;Shounen;1 hr.;G - All Ages;6.74;#5307;#7802;5,045;2;;[];"The second movie is about the return match between the All Europe Soccer Team and Japan. At the beginning Hyuga denies to join the team due to his 3. defeat against Nankatsu. He practices hard with Kyra to perfect his Tiger Shot. Misaki can't come and Wakabayashi isn't allowed to play for he normally plays for a German team. With those lacks and Schneider's (the European's captain) improved skills, Tsubasa and the Japanese team have grave problems. Despite the new rules, Schneider finally want's to beat his rival Wakabayashi with his new ""illusion shot"", thus he injures Wakashimazu and Murisaki (the second and third goal keeper) with brutal face shots until Wakabayashi is finally allowed to play. In the course of the match Hyuga manages to perfect his Tiger Shot and joins the team. With those legendary players united and Hyugas new power they manage to defeat their opponent 4:3 in the last minutes.  (Source: ANN)";Captain Tsubasa: Ayaushi! Zen Nippon Jr., Captain Tsubasa Movie 2, Captain Tsubasa MOVIE (1985 Winter),;Team Sports;;
37;Honoo no Toukyuuji: Dodge Danpei;https://myanimelist.net/anime/2228/Honoo_no_Toukyuuji__Dodge_Danpei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;炎の闘球児・ドッジ弾平;TV;47;Finished Airing;Oct 14, 1991 to Sep 21, 1992;['TV Tokyo', 'Shogakukan-Shueisha Productions'];None found, add some;Animation 21;Manga;;['School', 'Team Sports'];Kids;25 min. per ep.;PG - Children;7.35;#2310;#7804;5,042;30;['Comedy', 'Sports'];[];Danpei Ichihgeki is the son of Daijurou Ichigeki, a great dodgeball player. As his father, Danpei gives all he has for this game and so it shows in every match.  (Source: AnimeNfo);Honoo no Toukyuuji Dojji Danpei, Fighting Dodgeball Boy Dodge Danpei;;Fall 1991;Unknown
38;Captain Tsubasa: Sekai Daikessen!! Jr. World Cup;https://myanimelist.net/anime/2121/Captain_Tsubasa__Sekai_Daikessen_Jr_World_Cup;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キャプテン翼　世界大決戦！！Ｊｒ．ワールドカップ;Movie;1;Finished Airing;Jul 12, 1986;['Group TAC'];None found, add some;Tsuchida Productions;Unknown;Sports;;Shounen;57 min.;G - All Ages;6.81;#4928;#7819;5,019;2;;[];"In the fourth movie, the classical Japan-Europe match becomes intercontinental. This time they arrange a world cup with 4 teams: Japan, USA, ""All Europe"", and ""All South America"". In the first match, Japan easily defeats the USA 3:0 and in the second match Europe loses 2:3 against South America. In the final round S.A. shows their ""soccer cyborg"" Carlos Santana, a more than supreme player who seems to be undefeatable. All their classical tricks like Hyugas ""Tiger Shot"" or Tsubasas ""Top Spin"" seem to be totally worthless, but in a hard and spectacular match the Japanese learn more and more to play in unison and finally they get the win.  (Source: ANN)";Captain Tsubasa MOVIE (1986 Summer),;Team Sports;;
