;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme
23;To LOVE-Ru Darkness 2nd Specials;https://myanimelist.net/anime/31711/To_LOVE-Ru_Darkness_2nd_Specials;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;To LOVEる -とらぶる- ダークネス2nd;Special;2;Finished Airing;Feb 26, 2016;;;['Magic Capsule'];Sentai Filmworks;Xebec;Manga;['Comedy', 'Romance', 'Sci-Fi', 'Ecchi'];['Harem', 'School'];23 min. per ep.;R+ - Mild Nudity;7.57;#1485;#1977;92,468;156;Shounen;[];Extra episodes of To LOVE-Ru Darkness 2nd bundled with the seventh Blu-ray and DVD volume.;;
24;Strike the Blood: Valkyria no Oukoku-hen;https://myanimelist.net/anime/30321/Strike_the_Blood__Valkyria_no_Oukoku-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Strike the Blood OVA;ストライク・ザ・ブラッド　ヴァルキュリアの王国篇;OVA;2;Finished Airing;Nov 25, 2015 to Dec 23, 2015;;;['Movic', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Hakuhodo DY Music & Pictures'];None found, add some;Barnum Studio, SILVER LINK., Connect;Light novel;['Action', 'Fantasy', 'Supernatural', 'Ecchi'];['School', 'Vampire'];23 min. per ep.;R+ - Mild Nudity;7.24;#2870;#1989;91,844;99;;[];It was officially announced at the Dengeki Game Festival 2015 event that Strike the Blood will be getting a two-episode OVA series to be released at the end of 2015. The OVA will be an original story written by Gakuto Mikumo.  (Source: MAL News);;
25;Val x Love;https://myanimelist.net/anime/39799/Val_x_Love;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Vallove, Ikusa x Koi;戦×恋（ヴァルラヴ）;TV;12;Finished Airing;Oct 5, 2019 to Dec 21, 2019;Fall 2019;Saturdays at 23:00 (JST);['Square Enix', 'Sotsu', 'AT-X', 'Tokyo MX', 'Avex Pictures', 'Docomo Anime Store', 'BS11', 'GYAO!', 'A-Sketch', 'MAGNET', 'entama'];Sentai Filmworks;Hoods Entertainment;Manga;['Comedy', 'Romance', 'Supernatural', 'Ecchi'];['Harem', 'School'];23 min. per ep.;R - 17+ (violence & profanity);5.90;#9990;#1991;91,825;159;Shounen;['HIDIVE'];Valkyries—legendary female warriors from the land of gods, Asgard—are sent by Odin to protect Earth against the growing threat of demons. To overcome these threats, nine valkyries under the guise of the Saotome sisters will have to level up by performing a variety of romantic acts with their official lover, Einherjar.  Meanwhile, the socially anxious Takuma Akutsu learns that Odin has chosen him as the valkyries' lover. Despite his utter horror, however, he agrees to let the sisters stay in his big yet empty house to help them in their war against demons. With nine beautiful women sharing his roof, will Takuma manage to prevail over his fear of society and become someone worthy of saving the world?  [Written by MAL Rewrite];;
26;Negima!?;https://myanimelist.net/anime/1546/Negima;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Negima Remake;ネギま!?;TV;26;Finished Airing;Oct 4, 2006 to Mar 28, 2007;Fall 2006;Unknown;['None found', 'add some'];Funimation, Sentai Filmworks;Shaft, GANSIS;Manga;['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi'];['Harem', 'School'];23 min. per ep.;PG-13 - Teens 13 or older;6.95;#4270;#1998;91,174;261;;['HIDIVE'];A remake of the Negima anime with its own original story.  Wizard Negi Springfield may be a boy, but he has a man-sized job to do! Fresh from the Academy of Magic, Negi continues his training as an instructor at Mahora Academy in Japan. But before he can get his Masters in magic, the 31 schoolgirls of Class 3-A are gonna keep him up all night cramming for a final exam in will power. Temptation aside, Negi has more on his syllabus than flirting and spells. Darkness is closing in, and Negi is gonna need help from his lovely student bodies to drive the ghouls from their school. These girls want to prove that they're the best in class, and extra credit is available to the cuties that aren't afraid of after-hours phantom fighting!  (Source: DVD case);;
27;Sora no Otoshimono Final: Eternal My Master;https://myanimelist.net/anime/12783/Sora_no_Otoshimono_Final__Eternal_My_Master;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Sora no Otoshimono Final: Eien no Watashi no Torikago, Sora no Otoshimono 3;そらのおとしものＦｉｎａｌ永遠の私の鳥籠［エターナルマイマスター］;Movie;1;Finished Airing;Apr 26, 2014;;;['Nippon Columbia'];None found, add some;Production IMS;Manga;['Comedy', 'Sci-Fi', 'Supernatural', 'Ecchi'];;50 min.;PG-13 - Teens 13 or older;6.74;#5291;#1999;90,969;251;Shounen;[];The second movie of Sora no Otoshimono that concludes the anime series.;Harem;
28;Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama;https://myanimelist.net/anime/5764/Zero_no_Tsukaima__Princesses_no_Rondo_-_Yuuwaku_no_Sunahama;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Zero no Tsukaima: Princess no Rondo OVA, Zero no Tsukaima: Princesses no Rondo Special,Zero no Tsukaima: Seductive Beach,Zero no Tsukaima: Episode 6.5;ゼロの使い魔 ～三美姫（プリンセッセ）の輪舞（ロンド）～ 誘惑の砂浜;Special;1;Finished Airing;Dec 25, 2008;;;['None found', 'add some'];Sentai Filmworks;J.C.Staff;Light novel;['Comedy', 'Fantasy', 'Ecchi'];['Harem', 'Isekai'];23 min.;PG-13 - Teens 13 or older;7.25;#2840;#2000;90,915;121;;['HIDIVE'];DVD beach episode of Zero no Tsukaima: Princesses no Rondo. Also known as episode #6.5.;;
29;Ulysses: Jehanne Darc to Renkin no Kishi;https://myanimelist.net/anime/36510/Ulysses__Jehanne_Darc_to_Renkin_no_Kishi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ulysses: Jeanne d'Arc to Renkin no Kishi;ユリシーズ ジャンヌ・ダルクと錬金の騎士;TV;12;Finished Airing;Oct 7, 2018 to Dec 30, 2018;Fall 2018;Sundays at 22:00 (JST);['Lantis', 'Studio Mausu', 'Shueisha', 'Yomiuri TV Enterprise', 'Emon', 'DMM pictures', 'Crunchyroll SC Anime Fund', 'Bandai Namco Arts'];Funimation;AXsiZ;Light novel;['Action', 'Fantasy', 'Ecchi'];['Harem', 'Historical'];23 min. per ep.;PG-13 - Teens 13 or older;5.33;#12255;#2018;89,734;101;;['Crunchyroll', 'Funimation'];The story is set in the 15th century, during the Hundred Years' War between France and England over the succession to the French throne. Montmorency, the son of a noble, immerses himself in the studies of magic and alchemy at a royal knight training school. However, following France's crushing defeat at Agincourt, the school is dissolved. Having lost everything and now a wanted man, Montmorency, who had just become an alchemist, encounters a mysterious village girl named Jehanne.  (Source: MAL News);;
30;Iya na Kao sare nagara Opantsu Misete Moraitai;https://myanimelist.net/anime/37021/Iya_na_Kao_sare_nagara_Opantsu_Misete_Moraitai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;IyaPan;嫌な顔されながらおパンツ見せてもらいたい;ONA;6;Finished Airing;Jul 14, 2018 to Aug 13, 2018;;;['Toranoana'];None found, add some;UWAN Pictures;Other;;;4 min. per ep.;PG-13 - Teens 13 or older;5.75;#10648;#2022;89,641;379;;[];Every man wants to see panties, but unfortunately, that happens to be difficult to achieve. They are hidden beneath layers of clothing and seldom shown, other than to the trustworthy. They are considered the final frontier and the last barrier between a woman's bare skin and the wider world. The moment a girl shows her panties is when she is the most vulnerable. It would be absurd to simply ask to see them—or would it?  If a variety of girls were brazenly asked to show their panties, they would naturally be filled with contempt. But if one were to beg hard enough, they just might be lucky enough to get a peek.  [Written by MAL Rewrite];;Ecchi
31;Girls Bravo: Second Season;https://myanimelist.net/anime/487/Girls_Bravo__Second_Season;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;GIRLSブラボー second season;TV;13;Finished Airing;Jan 27, 2005 to Apr 21, 2005;Winter 2005;Unknown;['WOWOW', 'AIC', 'Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'KlockWorx', 'Happinet Pictures', 'Studio Jack'];Funimation, Geneon Entertainment USA;AIC Spirits;Manga;['Comedy', 'Fantasy', 'Romance', 'Ecchi'];['Harem', 'Isekai', 'School'];23 min. per ep.;R+ - Mild Nudity;6.62;#5952;#2035;88,738;126;Shounen;[];Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.  (Source: ANN);;
32;Koe de Oshigoto! The Animation;https://myanimelist.net/anime/8876/Koe_de_Oshigoto_The_Animation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Working with Voice!;こえでおしごと! The ANIMATION;OVA;2;Finished Airing;Nov 17, 2010 to May 11, 2011;;;['Pony Canyon'];Media Blasters;Studio Gokumi;Manga;['Comedy', 'Ecchi'];['Otaku Culture', 'Showbiz'];30 min. per ep.;R+ - Mild Nudity;6.89;#4521;#2041;88,561;119;Seinen;[];Being asked to work as a voice actress at a game company might not be so bad, unless you are Kanna Aoyagi. On her 16th birthday, her older sister Yayoi guilts Kanna into doing voice work for her at Blue March, a game company that specializes in eroge: erotic games with lots of sexual content.  Sweet and innocent, Kanna has no idea how she can possibly succeed at such an occupation when she has no sexual experience. But as she plays eroge for research, uses her vivid imagination, and receives unorthodox help from her coworkers, Kanna slowly becomes more comfortable with her new, embarrassing profession.  [Written by MAL Rewrite];;
33;R-15;https://myanimelist.net/anime/10611/R-15;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;R-15;あーるじゅうご;TV;12;Finished Airing;Jul 10, 2011 to Sep 25, 2011;Summer 2011;Unknown;['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC', 'Glovision'];None found, add some;AIC;Light novel;['Comedy', 'Romance', 'Ecchi'];['Harem', 'School'];24 min. per ep.;R+ - Mild Nudity;6.43;#7058;#2043;88,437;78;;[];R-15 is about a boy, Taketo Akutagawa, who attends a school for geniuses: Inspiration Academy Private High School. Taketo is a genius novelist and writes erotica. Despite negative perceptions many people have of him, he aims to be at the top of his class and be recognized as the world's greatest writer.  (Source: Wikipedia);;
34;Shinmai Maou no Testament Departures;https://myanimelist.net/anime/36688/Shinmai_Maou_no_Testament_Departures;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;新妹魔王の契約者 DEPARTURES;OVA;1;Finished Airing;Mar 28, 2018;;;['AT-X', 'Nippon Columbia', 'KlockWorx', 'Toranoana', 'Glovision', 'Sony PCL', 'Kadokawa Media House', 'Sun TV', 'Kadokawa'];None found, add some;Production IMS;Light novel;['Action', 'Fantasy', 'Romance', 'Ecchi'];['Harem', 'Mythology'];59 min.;R+ - Mild Nudity;6.91;#4460;#2044;88,363;148;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
35;High School DxD Hero: Taiikukan-ura no Holy;https://myanimelist.net/anime/37719/High_School_DxD_Hero__Taiikukan-ura_no_Holy;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ハイスクールD×D HERO体育館裏のホーリー;Special;1;Finished Airing;Apr 10, 2018;;;['AT-X'];Funimation;Passione;Light novel;['Action', 'Comedy', 'Romance', 'Ecchi'];['Harem', 'Mythology', 'School'];24 min.;R+ - Mild Nudity;6.93;#4367;#2053;87,943;149;;[];Alternative version of final four episodes of High School DxD BorN.;;
36;Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!;https://myanimelist.net/anime/9587/Oniichan_no_Koto_nanka_Zenzen_Suki_ja_Nai_n_da_kara_ne;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Oniichan no Koto nanka Zenzen Suki Janain Dakara ne!!, Onisuki;お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!;TV;12;Finished Airing;Jan 9, 2011 to Mar 27, 2011;Winter 2011;Sundays at 00:30 (JST);['Starchild Records'];None found, add some;Zexcs;Manga;['Comedy', 'Romance', 'Ecchi'];;23 min. per ep.;PG-13 - Teens 13 or older;6.09;#8994;#2054;87,875;90;;[];Junior High student Nao's brother complex is so strong, it's almost at the point of incest. She's determined to make her brother, High School student Shuusuke, see her as a woman. So determined, that she goes as far as going into his room to throw away all his non-incest related porn. But as she's looking for his porno stash, she finds a photo album... and she's not in any of his childhood pictures. What is going on?  (Source: MU);Harem;
37;Mushibugyou;https://myanimelist.net/anime/17505/Mushibugyou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ムシブギョー 蟲奉行;TV;26;Finished Airing;Apr 8, 2013 to Sep 30, 2013;Spring 2013;Mondays at 18:00 (JST);['TV Tokyo', 'Dentsu', 'Avex Pictures'];Sentai Filmworks;Seven Arcs Pictures;Manga;['Action', 'Fantasy', 'Ecchi'];['Historical', 'Martial Arts', 'Samurai', 'Super Power'];23 min. per ep.;PG-13 - Teens 13 or older;7.30;#2554;#2056;87,482;182;Shounen;['Crunchyroll'];A menace of huge monster-like insects is plaguing the land of Edo. Too powerful to be subdued by ordinary folks, the creatures are hunted by the Insect Magistrates—a group of warriors who specialize in various secret arts and combat styles. To bolster their strength, they summon Genjuurou Tsukishima, the master swordsman from the Tsugaru Province.  Due to an unfortunate incident, however, Genjuurou is incapable of answering the call and sends his son, Jinbee, to serve in his stead. Determined to atone for the incident caused by his own cowardice, Jinbee agrees to travel to Edo and join the Insect Magistrates. Armed with his fiery spirit and unwavering resolve, Jinbee vows to become a stronger samurai and rid Edo of the insect threat once and for all.  [Written by MAL Rewrite];;
38;High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video;https://myanimelist.net/anime/31326/High_School_DxD_BorN__Ishibumi_Ichiei_Kanzen_Kanshuu_Mousou_Bakuyou_Kaijo_Original_Video;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ハイスクールD×D BorN 石踏一榮完全監修！妄想爆揺解除オリジナルビデオ;Special;6;Finished Airing;Jul 24, 2015 to Jan 27, 2016;;;['Genco', 'Lantis', 'Movic', 'AT-X', 'Memory-Tech', 'Showgate', 'Kadokawa'];Funimation;TNK;Light novel;['Comedy', 'Ecchi'];;3 min. per ep.;R+ - Mild Nudity;7.36;#2289;#2057;87,378;158;;[];Specials included with the Blu-ray/DVD volumes.;;
39;Bikini Warriors;https://myanimelist.net/anime/30782/Bikini_Warriors;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ビキニ・ウォリアーズ;TV;12;Finished Airing;Jul 8, 2015 to Sep 23, 2015;Summer 2015;Wednesdays at 01:35 (JST);['Hobby Japan', 'Studio Mausu'];Funimation;feel.;Other;['Comedy', 'Fantasy', 'Ecchi'];;4 min. per ep.;R+ - Mild Nudity;5.11;#12794;#2084;85,667;147;;['Funimation'];When darkness threatens the world, four heroines hold the only hope for salvation—if they can even manage to get out of the first town, that is. Bikini Warriors follows a party of beautiful adventurers in revealing armor: courageous Fighter, airheaded Paladin, timid Mage, and alluring Darkelf. But can you really be an adventurer if you don't get going on an adventure?  Our heroines are eternally broke, insufferably vain, and frequently outmatched by the dangers of their world. Between fleeing dungeons and robbing peasants, the unlikely heroes will have to learn to live with each other before they can survive a battle with ultimate evil!;Parody;
40;Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.;https://myanimelist.net/anime/9922/Oretachi_ni_Tsubasa_wa_Nai__Under_the_Innocent_Sky;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Oretsuba, We Don't Have Wings, Ore-tachi ni Tsubasa wa Nai;俺たちに翼はない -under the innocent sky.;TV;12;Finished Airing;Apr 4, 2011 to Jun 20, 2011;Spring 2011;Unknown;['Lantis', 'Delfi Sound', 'Marvelous AQL', 'Studio Jack'];Funimation;Nomad;Visual novel;['Comedy', 'Drama', 'Romance', 'Ecchi'];;24 min. per ep.;R+ - Mild Nudity;6.66;#5746;#2088;85,469;173;;['Crunchyroll', 'Funimation'];"Haneda Takashi has a secret he cannot speak of. To leave his dull school-life, he was supposed to have escaped to another world. However, he is reeled in by certain ties on his heart. One of these is Kobato, his awkward younger sister. The other is Watarai Asuka, his negligent girlfriend.  Chitose Shuusuke is a poor freeloader. He passes his days working at various part-time jobs. One day, he has a disastrous first encounter with Tamaizumi Hiyoko. The next time they meet, Shuusuke discovers that they are fellow employees at his part-time job.  Narita Hayato sees himself as a ""hard-boiled"" person. Back-breaking jobs are nothing to him. Hayato shuns normal human contact, but, during the nights, he would get together with delinquents and other denizens of the night. One such night, he meets the cheerful and oblivious Otori Naru.  The relationships with these girls will greatly affect these 3 young men. But what, exactly, is the relationship these young men have with each other?  (Source: AnimeNFO)";Harem;
41;Abenobashi Mahou☆Shoutengai;https://myanimelist.net/anime/306/Abenobashi_Mahou%E2%98%86Shoutengai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Abenobashi Magic Shopping District, Abenobashi Mahoh Shotengai, Magical Shopping Street Abenobashi, Magical Shopping Arcade Abenobashi;アベノ橋魔法☆商店街;TV;13;Finished Airing;Apr 4, 2002 to Jun 27, 2002;Spring 2002;Thursdays at 22:00 (JST);['Dentsu', 'Starchild Records', 'Imagica', 'Rakuonsha', 'King Records'];ADV Films, Sentai Filmworks;Gainax, Madhouse;Original;['Award Winning', 'Comedy', 'Fantasy', 'Ecchi'];['Isekai', 'Parody'];24 min. per ep.;R+ - Mild Nudity;7.23;#2903;#2090;85,241;319;;['HIDIVE'];"Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.  Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar faces—the voluptuous Mune-mune and the elusive blue-haired Eutus—and they just might be the key to escaping their predicament.  Abenobashi Mahou☆Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?  [Written by MAL Rewrite]";;
42;Love Hina Again;https://myanimelist.net/anime/190/Love_Hina_Again;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ラブ ひな Again;OVA;3;Finished Airing;Jan 26, 2002 to Mar 27, 2002;;;['Starchild Records', 'Audio Tanaka'];Bandai Entertainment, Discotek Media;Xebec;Manga;['Comedy', 'Drama', 'Romance', 'Ecchi'];;30 min. per ep.;PG-13 - Teens 13 or older;7.22;#2956;#2106;83,466;85;Shounen;['Crunchyroll'];Keitaro has finally passed the entrance exams, and is officially a Toudai student. But after breaking his leg in an accident in the entrance ceremony, he thought and re-evaluated himself. Having new goals, Keitaro follows Seta on an overseas archeology trip. During his absence, however, all was not well in Hinata Lodge. Urashima Kanako, Keitaro's sister, arrives on the scene. She claims to be the new manager of Hinata Lodge starts to go against all the tenants. Things become even more complicated when they recieve a letter from Keitaro. The tenants and Kanako made a big mess trying to get the letter, but Seta's car crashes in before anyone could read the letter...;;
43;Sankarea: Wagahai mo... Zombie de Aru...;https://myanimelist.net/anime/16694/Sankarea__Wagahai_mo_Zombie_de_Aru;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Sankarea Special, Sankarea Episode 13;さんかれあ 吾輩も... ゾンビである...;Special;1;Finished Airing;Nov 30, 2012;;;['Lantis', 'Pony Canyon', 'TBS', 'Kodansha', 'BS-TBS'];Funimation;Studio Deen;Manga;['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi'];;24 min.;R+ - Mild Nudity;7.21;#3032;#2115;82,881;41;Shounen;['Crunchyroll'];"Extra episode included on BD/DVD vol. 6; effectively episode 13.  Despite their decaying bodies, Rea’s zombie power comes in handy both at school and at home, and Babu gets interested in another cat—although this particular feline is one of the living.  (Source: FUNimation)";;
44;To LOVE-Ru Darkness 2nd OVA;https://myanimelist.net/anime/31380/To_LOVE-Ru_Darkness_2nd_OVA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;To LOVE-Ru Trouble Darkness 2nd OVA;To LOVEる -とらぶる- ダークネス2nd;OVA;3;Finished Airing;Jan 4, 2016 to Dec 2, 2016;;;['None found', 'add some'];None found, add some;Xebec;Manga;['Comedy', 'Romance', 'Sci-Fi', 'Ecchi'];['Harem', 'School'];22 min. per ep.;R+ - Mild Nudity;7.53;#1647;#2126;81,872;137;Shounen;[];A scan of Jump SQ's September issue, to be released on August 4, revealed that the fifteenth volume of To LOVE-Ru Darkness will bundle a new OVA, which will be released on January 4. Consisting of two episodes, the OVA will run for a total of 25 minutes. One episode, titled Ghost Story Kowai no wa Ikaga (How about something scary?), will adapt a side-story from volume nine. The second episode, titled Clinic Sunao ni Narenakute (Without becoming obedient), will adapt chapter 38.  (Source: MAL News);;
45;Vandread;https://myanimelist.net/anime/180/Vandread;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Vandread Stage One, Vandread First Stage;ヴァンドレッド;TV;13;Finished Airing;Oct 3, 2000 to Dec 19, 2000;Fall 2000;Tuesdays at 18:30 (JST);['GDH', 'Dentsu', 'Media Factory'];Funimation, Geneon Entertainment USA;Gonzo;Original;['Action', 'Sci-Fi', 'Ecchi'];['Mecha', 'Space'];22 min. per ep.;PG-13 - Teens 13 or older;7.17;#3254;#2128;81,715;418;;['Crunchyroll', 'Funimation'];"In Vandread, men are from Mars and women are from Venus! Well, not quite. Technology has allowed mankind to colonize the entire Milky Way galaxy, and in one star system, the men and women live on two different planets, Taraak and Mejere. A bitter and very literal gender war rages, to the point where they don't even see each other as the sames species anymore!  Hibiki Tokai, a male third-class laborer from Taraak, ends up stuck on a battleship after a botched attempt at stealing a robot. When female pirates capture the Taraakian Vanguard, things don't look like they could get any worse for Hibiki. Unfortunately, they do; when the male crew of the Vanguard fire on their captured vessel out of desperation, they created a giant wormhole, which sucks the Vanguard and the Mejeran pirate's ships into itself! Now, stuck far away from their home planets, these men and women must learn to work together if they ever wish to make it back home.";;
46;Strike Witches 2;https://myanimelist.net/anime/6381/Strike_Witches_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ストライクウィッチーズ 2;TV;12;Finished Airing;Jul 8, 2010 to Sep 23, 2010;Summer 2010;Thursdays at 01:30 (JST);['AIC', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo'];Funimation;AIC Spirits;Original;['Action', 'Sci-Fi', 'Ecchi'];;24 min. per ep.;R+ - Mild Nudity;7.29;#2642;#2131;81,381;266;;[];Six months have passed since the victorious Battle of Britannia and the reclamation of Gallia from Neuroi invaders. Yoshika Miyafuji, member of the famed 501st Joint Fighter Wing, has come back home to Fuso and graduated from middle school.  However, her fight is far from over. She receives a letter supposedly sent by her long-deceased father, containing blueprints of a state-of-the-art Striker Unit he had been working on before his death. The Unit, designed specifically for Yoshika, might be capable of harnessing her extraordinary magical powers.  Meanwhile, a new threat in Europe is rising. A Neuroi nest of an unprecedented size and might has appeared over Venezia, wiping out local Witch forces and instantly swallowing the northern part of the country. To make matters worse, a newly spotted humanoid type of Neuroi is attempting to come into contact with humans.  Yoshika, incapable of abandoning her friends on the front lines, must once again venture to the war-torn continent.  [Written by MAL Rewrite];Military;
47;Futoku no Guild;https://myanimelist.net/anime/51212/Futoku_no_Guild;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Guild of Depravity;不徳のギルド;TV;12;Finished Airing;Oct 5, 2022 to Dec 21, 2022;Fall 2022;Wednesdays at 23:30 (JST);['Square Enix', 'Lantis', 'AT-X', 'Egg Firm', 'Kadokawa', 'Bandai Namco Music Live'];Sentai Filmworks;TNK;Manga;['Comedy', 'Fantasy', 'Ecchi'];;24 min. per ep.;R+ - Mild Nudity;6.60;#6031;#2137;81,038;377;Shounen;['Animax Korea', 'Anime Digital Network', '', '', ''];"Despite having a good reputation as one of the most seasoned guards in the local guild of Mebuki, Kikuru Madan believes he has been wasting his youth and hopes to spend the rest of it like any other person. However, his conscience prevents him from retiring at present, as he worries about the guild's future without him.  Coincidentally—as if to help him find his successor—the guild's receptionist, Enome, assigns Kikuru four fresh recruits: the energetic beastwoman Hitamu ""Hitamuki"" Kyan, the prodigy Maidena Ange, the laid-back Toxico Dannar, and the stalwart Hanabata Nohkins. Although each of them possesses significant talents, they also display characteristics that detract from their potential—including Hitamu's extreme clumsiness and Hanabata's unintentional perverseness.  As if there was not enough to deal with, the monsters outside Mebuki's walls start exhibiting odd behavior by targeting women salaciously, causing the party endless problems in more ways than one. Nevertheless, Kikuru is committed to retiring early; to achieve his goal, the guidance he gives the trainees will be absolutely essential.  [Written by MAL Rewrite]";Harem;
48;Fairy Tail OVA (2016);https://myanimelist.net/anime/32930/Fairy_Tail_OVA_2016;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Fairies' Penalty Game, Natsu vs. Mavis, Fairies' Christmas;フェアリーテイル OVA第2期;OVA;3;Finished Airing;May 17, 2016 to Dec 16, 2016;;;['None found', 'add some'];None found, add some;A-1 Pictures;Manga;['Comedy', 'Fantasy', 'Ecchi'];;27 min. per ep.;PG-13 - Teens 13 or older;7.22;#2994;#2162;79,984;193;Shounen;[];Yousei-tachi no Batsu Game (Fairies' Penalty Game) Following the Grand Magic Games' undecided outcome, Fairy Tail master Makarov Dreyar finds another way to settle the winner: Team A and Team B will play rock-paper-scissors. The victors can order whatever they want the losers to do. Under these conditions, Laxus Dreyar sends Natsu Dragneel and his team on an impossible mission to retrieve a lost stone.  Natsu vs. Mavis As the Fairy Tail girls soak in the hot water together with their first master, Mavis Vermillion, they notice that despite the pleasant atmosphere in the bathhouse, Mavis is gloomy. When Warrod Sequen unexpectedly appears, he shares a century-old story about Mavis burying a secret treasure. While Natsu and his team set out to find the treasure to remind Mavis of the good old days, a dispute between Fairy Tail's original members comes to light.  Yousei-tachi no Christmas (Fairies' Christmas) Fairy Tail members help their beloved city of Magnolia get into the holiday spirit. After a long day of hard work, Natsu and his friends gather to celebrate Christmas with alcohol and games, which soon escalates in real Fairy Tail fashion.  [Written by MAL Rewrite];;
49;Strike the Blood IV;https://myanimelist.net/anime/40485/Strike_the_Blood_IV;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Strike the Blood Fourth;ストライク・ザ・ブラッド IV;OVA;12;Finished Airing;Apr 8, 2020 to Jun 30, 2021;;;['Magic Capsule'];None found, add some;Connect;Light novel;['Action', 'Fantasy', 'Supernatural', 'Ecchi'];['Harem', 'Vampire'];25 min. per ep.;R+ - Mild Nudity;6.98;#4160;#2170;79,548;183;;[];Fourth season of Strike the Blood.;;
